Iteration	Posterior	Likelihood	Prior	distance_scale	extirpation_rate	log10_rate_bg	rate_bg
0	-29.0726	-24.3084	-4.76418	0.01	0.6729202	-2	0.01
10	-28.8351	-24.0713	-4.76388	0.01	0.6992858	-2.059994	0.008709762
20	-32.3036	-23.0319	-9.27163	0.01	3.084502	-2.461072	0.003458819
30	-29.4674	-23.7029	-5.76446	0.01	1.394482	-1.915455	0.01214913
40	-28.8646	-23.5844	-5.28015	0.01	1.142665	-2.356395	0.004401541
50	-29.791	-25.0244	-4.76669	0.01	0.659514	-2.812641	0.001539426
60	-29.3477	-24.2394	-5.10832	0.01	1.04118	-2.611691	0.002445172
70	-31.4489	-25.7169	-5.73202	0.01	1.378458	-3.037305	0.0009176869
80	-28.6921	-23.6968	-4.99528	0.01	0.9661733	-2.355515	0.004410471
90	-29.1351	-24.357	-4.77815	0.01	0.6305216	-2.58614	0.002593342
100	-28.7534	-23.9854	-4.76797	0.01	0.7213904	-2.082875	0.008262751
110	-28.7774	-23.8632	-4.91422	0.01	0.904577	-2.432533	0.003693749
120	-30.4101	-22.7335	-7.67661	0.01	2.297734	-2.227613	0.005920896
130	-29.1608	-24.2089	-4.95192	0.01	0.9343639	-1.934016	0.01164084
140	-32.8438	-28.0539	-4.78993	0.01	0.7713842	-3.563768	0.0002730435
150	-29.0836	-24.0487	-5.03495	0.01	0.4754196	-2.27232	0.005341702
160	-31.2353	-24.3149	-6.92035	0.01	1.941622	-2.720532	0.001903129
170	-29.3031	-23.995	-5.30803	0.01	1.158229	-2.544325	0.002855452
180	-28.5762	-23.6119	-4.96429	0.01	0.9436716	-2.205725	0.006226939
190	-28.8571	-23.8704	-4.98672	0.01	0.9600635	-2.01416	0.009679212
200	-29.0195	-24.1738	-4.8457	0.01	0.8419831	-2.555663	0.002781873
210	-29.1587	-24.378	-4.78071	0.01	0.7545447	-1.954967	0.0110926
220	-29.8677	-23.2034	-6.6643	0.01	1.822009	-1.932205	0.01168948
230	-28.8571	-24.0013	-4.85587	0.01	0.5542363	-2.200292	0.00630533
240	-30.5468	-24.4625	-6.08427	0.01	1.54915	-2.73059	0.001859561
250	-31.2324	-25.6625	-5.56994	0.01	1.297036	-3.0207	0.0009534547
260	-29.0849	-24.0559	-5.02907	0.01	0.4773298	-2.244752	0.005691781
270	-28.9595	-23.8676	-5.09191	0.01	1.030821	-2.469081	0.003395619
280	-29.3864	-23.0755	-6.31093	0.01	1.656445	-2.204485	0.006244746
290	-29.2146	-23.9918	-5.22278	0.01	1.109955	-1.929168	0.0117715
300	-31.6813	-22.8836	-8.79767	0.01	2.844191	-2.391133	0.004063189
310	-30.733	-24.8772	-5.85573	0.01	0.3282207	-2.727203	0.001874116
320	-28.558	-23.7403	-4.81773	0.01	0.8105774	-2.279868	0.005249667
330	-30.0056	-22.8431	-7.16249	0.01	2.054975	-2.212766	0.006126808
340	-34.0887	-21.5247	-12.564	0.01	4.952677	-2.147358	0.007122655
350	-30.2004	-23.455	-6.74545	0.01	1.859919	-2.45892	0.003476004
360	-30.372	-22.6813	-7.69076	0.01	2.304472	-1.990445	0.01022244
370	-29.2102	-23.1743	-6.03592	0.01	1.52607	-2.082967	0.008261001
380	-29.853	-23.8201	-6.03286	0.01	1.524605	-2.537471	0.002900875
390	-28.997	-24.0584	-4.93861	0.01	0.5111548	-2.376854	0.004199003
400	-28.7657	-23.8938	-4.8719	0.01	0.8676545	-2.436876	0.003656988
410	-28.5613	-23.7376	-4.82378	0.01	0.8178515	-2.182298	0.00657207
420	-29.607	-22.9295	-6.67756	0.01	1.828207	-2.137481	0.007286506
430	-32.6907	-22.3075	-10.3832	0.01	3.674029	-2.292227	0.005102385
440	-33.4394	-22.9073	-10.5321	0.01	3.756017	-2.478705	0.003321203
450	-29.0464	-24.23	-4.81639	0.01	0.5839416	-2.060256	0.008704506
460	-30.7449	-24.4713	-6.27362	0.01	0.2882275	-2.54946	0.00282189
470	-30.6605	-24.1801	-6.48037	0.01	1.735989	-2.668432	0.002145694
480	-29.9458	-24.2314	-5.71445	0.01	1.369748	-2.648643	0.002245728
490	-29.9287	-23.0775	-6.85116	0.01	1.909295	-1.948797	0.0112513
500	-31.2915	-26.1811	-5.11048	0.01	1.042528	-1.66821	0.02146791
510	-33.2886	-23.0821	-10.2065	0.01	3.577724	-2.512523	0.003072394
520	-28.8033	-23.9891	-4.8142	0.01	0.5859295	-2.367751	0.004287943
530	-29.3941	-24.6277	-4.76637	0.01	0.7148102	-2.696329	0.002012199
540	-28.6624	-23.8888	-4.77355	0.01	0.6397648	-2.279235	0.005257331
550	-28.5513	-23.7237	-4.82752	0.01	0.8221877	-2.263662	0.005449269
560	-29.2429	-24.276	-4.96696	0.01	0.9456534	-2.610432	0.002452267
570	-30.26	-25.407	-4.853	0.01	0.84942	-2.932953	0.001166935
580	-28.6854	-23.6229	-5.06246	0.01	1.011835	-2.322133	0.004762846
590	-28.8463	-23.4176	-5.42871	0.01	1.22362	-2.266237	0.005417051
600	-29.6282	-24.8642	-4.76401	0.01	0.6743218	-2.766149	0.001713369
610	-29.1988	-24.3528	-4.84601	0.01	0.5608087	-2.033615	0.009255183
620	-28.9252	-24.1075	-4.81776	0.01	0.5827288	-2.4546	0.003510747
630	-30.4592	-24.4675	-5.99172	0.01	0.3138877	-2.555972	0.002779893
640	-29.1879	-24.1163	-5.07151	0.01	0.4641374	-2.191721	0.006431013
650	-30.5971	-24.3085	-6.28859	0.01	1.645921	-2.69635	0.0020121
660	-29.4883	-22.9887	-6.49966	0.01	1.745022	-2.149202	0.007092482
670	-30.3116	-25.4118	-4.8998	0.01	0.5292688	-2.912606	0.001222909
680	-29.3841	-24.6115	-4.77258	0.01	0.6419872	-2.681097	0.002084023
690	-29.0264	-24.1828	-4.84361	0.01	0.5624726	-2.489648	0.003238561
700	-29.8127	-23.7753	-6.03738	0.01	1.526768	-1.865874	0.01361841
